     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,         2,         0,   0.011,chromobius,11571ef97b5bb15de06366ca20660b2d546992cdbd601a0e94f648feeb6b2cb9,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      2321,         3,         0,   0.011,chromobius,7b8a0c103cc4c9a69c0591e728f476337ef38e5714779c79a11bd0912526afeb,"{""d"":5,""p"":0.0001,""r"":20}",
      1297,         2,         0,   0.011,chromobius,4f0061d2caa5545d7cfe783ece91150749fbc62393ce2785b3bbc8b84bf2fb32,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      2321,         0,         0,   0.013,chromobius,8f4cc7a096c8acf5a76ff25c6e12a2ebe0b564466a81acee7899b239c794c992,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      1297,         6,         0,   0.014,chromobius,2eaa717a1b5bcc3576aa4c528abf952c84fa69233736adb6480dc7dd20943b85,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      2321,         3,         0,   0.013,chromobius,ea759473ddebb23b264020163b3f9e1ba05e844b0e7c802d13bb01818d3815cd,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
         1,         0,         0,   0.011,chromobius,8bb8d5c754a5722a56707218f52487fc1cf0012b330f6f6f15814cf945e37582,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      1297,        12,         0,   0.016,chromobius,10e865bc5c1f921bbf9a37aa02b9067117eef7c00f3793c7b1fd57f3767d07d1,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      1297,         7,         0,   0.016,chromobius,ba151ac3312a4242c61398eaaa047994cd226a8759fbbfc30de42d3418fc9725,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1297,        18,         0,   0.019,chromobius,1271a126ae04d99e2c90d97be8e1f72d45e1f6f4033fb10134ee89b98e78bc95,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      1297,         6,         0,   0.017,chromobius,abedb71b789e2c4e68195b54dd10a580b8f7d80e474a5299c7c7ce3bf1880293,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      1297,        29,         0,   0.026,chromobius,85e247ca9db882fc7d79348165718f0925df866fad4e93a8414abc9526525067,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      3072,         8,         0,   0.015,chromobius,11571ef97b5bb15de06366ca20660b2d546992cdbd601a0e94f648feeb6b2cb9,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      5120,         3,         0,   0.017,chromobius,7b8a0c103cc4c9a69c0591e728f476337ef38e5714779c79a11bd0912526afeb,"{""d"":5,""p"":0.0001,""r"":20}",
      2048,         8,         0,   0.015,chromobius,2eaa717a1b5bcc3576aa4c528abf952c84fa69233736adb6480dc7dd20943b85,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      3072,         7,         0,   0.017,chromobius,4f0061d2caa5545d7cfe783ece91150749fbc62393ce2785b3bbc8b84bf2fb32,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      4096,         4,         0,   0.019,chromobius,8f4cc7a096c8acf5a76ff25c6e12a2ebe0b564466a81acee7899b239c794c992,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      4096,         6,         0,   0.018,chromobius,ea759473ddebb23b264020163b3f9e1ba05e844b0e7c802d13bb01818d3815cd,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      1296,        16,         0,   0.019,chromobius,8bb8d5c754a5722a56707218f52487fc1cf0012b330f6f6f15814cf945e37582,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      2048,        21,         0,   0.018,chromobius,10e865bc5c1f921bbf9a37aa02b9067117eef7c00f3793c7b1fd57f3767d07d1,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      2048,         6,         0,   0.019,chromobius,ba151ac3312a4242c61398eaaa047994cd226a8759fbbfc30de42d3418fc9725,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
