     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         3,         0,   0.010,chromobius,94cee2f176a0014fc695cd42431fbb486c066b3195a80362052a1c958e9a12d3,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
       273,         0,         0,   0.011,chromobius,c59e09c509753ccabd247ebc6b5b168f1ba6a32a8ae9bd481dc2a3a04b740003,"{""d"":5,""p"":0.0001,""r"":20}",
      1297,         2,         0,   0.016,chromobius,402f27128e7bf2d998ae3042843beecea5ec8cc7b14ec2aec4de27808e6db62b,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      1297,         1,         0,   0.011,chromobius,710f3406543c389f5e517454908c1abb22a353f94c7a3a81ad81132d98e8b41a,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      1297,         1,         0,   0.011,chromobius,d46e9b373b68c0815bb9f9e13a505b3286c1f40e4f6e73ddfc2d8f4c3d46d075,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
         1,         0,         0,   0.011,chromobius,86dc0ad830001b03e4d163f05f00410ef271a7c8c95d1997510b234b14458616,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      1297,         9,         0,   0.017,chromobius,4b605326b1ef5df3f030b4582af7674d34fee9cb36f929c4a270484be037191a,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      2048,         9,         0,   0.014,chromobius,94cee2f176a0014fc695cd42431fbb486c066b3195a80362052a1c958e9a12d3,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1297,         1,         0,   0.017,chromobius,b9976db406792aabc4ca2478ecc92ecf5048cc6284bf0bebc216488e9711985c,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      4096,         1,         0,   0.017,chromobius,c59e09c509753ccabd247ebc6b5b168f1ba6a32a8ae9bd481dc2a3a04b740003,"{""d"":5,""p"":0.0001,""r"":20}",
         1,         0,         0,   0.018,chromobius,aa4f400eff748fb77c4a12614aba89aeae75b0c35a5e6b35beaa8928a4cd98ba,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
       273,         3,         0,   0.015,chromobius,ca960b37d75f5a4b42f9e00c9d84498e34b637a84dd9d03ec9911826393e6c5a,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      3072,         4,         0,   0.017,chromobius,710f3406543c389f5e517454908c1abb22a353f94c7a3a81ad81132d98e8b41a,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      1296,         9,         0,   0.015,chromobius,86dc0ad830001b03e4d163f05f00410ef271a7c8c95d1997510b234b14458616,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      3072,         7,         0,   0.016,chromobius,d46e9b373b68c0815bb9f9e13a505b3286c1f40e4f6e73ddfc2d8f4c3d46d075,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      2048,         6,         0,   0.019,chromobius,402f27128e7bf2d998ae3042843beecea5ec8cc7b14ec2aec4de27808e6db62b,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      2048,        16,         0,   0.017,chromobius,4b605326b1ef5df3f030b4582af7674d34fee9cb36f929c4a270484be037191a,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      1024,        10,         0,   0.015,chromobius,ca960b37d75f5a4b42f9e00c9d84498e34b637a84dd9d03ec9911826393e6c5a,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      3072,         6,         0,   0.019,chromobius,b9976db406792aabc4ca2478ecc92ecf5048cc6284bf0bebc216488e9711985c,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      3072,        12,         0,   0.023,chromobius,94cee2f176a0014fc695cd42431fbb486c066b3195a80362052a1c958e9a12d3,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1297,        20,         0,   0.025,chromobius,7b52ec7be259f6b66cb725e694d81246d15929fb80894e1061e1ae84a393bd84,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      1296,        19,         0,   0.018,chromobius,aa4f400eff748fb77c4a12614aba89aeae75b0c35a5e6b35beaa8928a4cd98ba,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      6144,         5,         0,   0.021,chromobius,c59e09c509753ccabd247ebc6b5b168f1ba6a32a8ae9bd481dc2a3a04b740003,"{""d"":5,""p"":0.0001,""r"":20}",
         1,         0,         0,   0.043,chromobius,1b7366bd9c6d6fdb5a6ee5b8ef5b62aab060346c79e86d6daba3ce8be42707c0,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      2048,        12,         0,   0.020,chromobius,86dc0ad830001b03e4d163f05f00410ef271a7c8c95d1997510b234b14458616,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      2048,         8,         0,   0.019,chromobius,402f27128e7bf2d998ae3042843beecea5ec8cc7b14ec2aec4de27808e6db62b,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      4096,         7,         0,   0.020,chromobius,d46e9b373b68c0815bb9f9e13a505b3286c1f40e4f6e73ddfc2d8f4c3d46d075,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      5120,         4,         0,   0.021,chromobius,710f3406543c389f5e517454908c1abb22a353f94c7a3a81ad81132d98e8b41a,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      1024,        22,         0,   0.016,chromobius,7b52ec7be259f6b66cb725e694d81246d15929fb80894e1061e1ae84a393bd84,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      3072,        17,         0,   0.027,chromobius,4b605326b1ef5df3f030b4582af7674d34fee9cb36f929c4a270484be037191a,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      3208,         2,         0,   0.015,chromobius,1b7366bd9c6d6fdb5a6ee5b8ef5b62aab060346c79e86d6daba3ce8be42707c0,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      4096,        10,         0,   0.023,chromobius,b9976db406792aabc4ca2478ecc92ecf5048cc6284bf0bebc216488e9711985c,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      2048,        23,         0,   0.024,chromobius,aa4f400eff748fb77c4a12614aba89aeae75b0c35a5e6b35beaa8928a4cd98ba,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      1024,        12,         0,   0.026,chromobius,ca960b37d75f5a4b42f9e00c9d84498e34b637a84dd9d03ec9911826393e6c5a,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      4096,        16,         0,   0.029,chromobius,94cee2f176a0014fc695cd42431fbb486c066b3195a80362052a1c958e9a12d3,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      9216,        10,         0,   0.030,chromobius,c59e09c509753ccabd247ebc6b5b168f1ba6a32a8ae9bd481dc2a3a04b740003,"{""d"":5,""p"":0.0001,""r"":20}",
      1024,        19,         0,   0.021,chromobius,7b52ec7be259f6b66cb725e694d81246d15929fb80894e1061e1ae84a393bd84,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      5120,         6,         0,   0.028,chromobius,d46e9b373b68c0815bb9f9e13a505b3286c1f40e4f6e73ddfc2d8f4c3d46d075,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      1024,         2,         0,   0.029,chromobius,402f27128e7bf2d998ae3042843beecea5ec8cc7b14ec2aec4de27808e6db62b,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
