     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,         0,         0,   0.011,chromobius,a84cd708d74680a8dce8232c3cfb110694432af7c27bc443344bacb58cb743f0,"{""d"":5,""p"":0.0001,""r"":20}",
       273,         0,         0,   0.010,chromobius,d2706b758e0ef94355443e197196e5c79044e469930750e9e50a6168a08cf59e,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      1297,         2,         0,   0.012,chromobius,2e123b155f2d0eeaa381a2849a085b038e1e339fd524d5fd0d510491a52c7220,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
         1,         0,         0,   0.010,chromobius,ff015836648097873ee81c77480f1d99835a6e2eb5d73c72f89c5841dc8cc038,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1297,         0,         0,   0.010,chromobius,dc3710121e64d0a914b1c6856717d37cb226ad8e314e898a308c2d3aedc6defb,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
       273,         0,         0,   0.010,chromobius,e97f9c6b7873fe15387e798fc3dfdf4c3b28ad4ccb5f60a5ee17befd75a74fbb,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
         1,         0,         0,   0.017,chromobius,411f937e71be542c36653cf589f32dba8f6c926b7dee0ef6370edcf7644fda7f,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
         1,         0,         0,   0.016,chromobius,c02f7324f80c4696f6fff96d2124cde6035719a0e7e8cd42752d5dc3e4c89cf0,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      2048,         3,         0,   0.015,chromobius,2e123b155f2d0eeaa381a2849a085b038e1e339fd524d5fd0d510491a52c7220,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      1024,         4,         0,   0.017,chromobius,d2706b758e0ef94355443e197196e5c79044e469930750e9e50a6168a08cf59e,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      3072,         1,         0,   0.019,chromobius,a84cd708d74680a8dce8232c3cfb110694432af7c27bc443344bacb58cb743f0,"{""d"":5,""p"":0.0001,""r"":20}",
      2320,         5,         0,   0.019,chromobius,ff015836648097873ee81c77480f1d99835a6e2eb5d73c72f89c5841dc8cc038,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      2048,         2,         0,   0.017,chromobius,dc3710121e64d0a914b1c6856717d37cb226ad8e314e898a308c2d3aedc6defb,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      1024,         4,         0,   0.018,chromobius,e97f9c6b7873fe15387e798fc3dfdf4c3b28ad4ccb5f60a5ee17befd75a74fbb,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
         1,         0,         0,   0.028,chromobius,d0e4cfaebc36d1ec1b73883d7a3417807daede44cc03cbf7e6e9657b6086fef9,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
         1,         0,         0,   0.028,chromobius,1b6d6007dc3bc0114990d58e89f2f84c42598212275010061501811c142c6cd1,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
