     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,         4,         0,   0.015,chromobius,49b8a39bf42fb82a45113fd0376bbcfd56c68650c2905e905a23637447b6dae7,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1297,         1,         0,   0.015,chromobius,fba7f029e33077a345bf4dd88f83ae2a90930bfabab1aa58f0cdbef2aea49d31,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      1297,         1,         0,   0.010,chromobius,aa0966330167a83df22d82ff752da6805f7a520ba9b9f96a4b98fe916c564e60,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      1297,         2,         0,   0.010,chromobius,7e2785c1c0f9bfeaa9e66a5953e1b9e36fad3d27ac737ff76c331d7f682b20a7,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      1297,         7,         0,   0.020,chromobius,422980d53ff9fe41da6795fed75e8b57649d80939f14947e0176c2d113f9df5f,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
       273,         1,         0,   0.012,chromobius,a51a996a9a9058cb75c96519b03ad9fa998a544a537be2f3c377c8d1a2e2cf29,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      1297,        13,         0,   0.019,chromobius,32f7aeaa3186c52c807fd872b483cc4eb7a52bb11656bbad528421b5eca9768b,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      1297,         0,         0,   0.011,chromobius,fdd14dc83274cbf67468505390cc44185505a54dc13edb403520539c9601c223,"{""d"":5,""p"":0.0001,""r"":20}",
      1297,         1,         0,   0.017,chromobius,1baac601d392dda142401ff1ea123ee9e834a07d7d1ca7b3dce2c7d1fd50f545,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      1297,         9,         0,   0.024,chromobius,8776287e3e3847d375fac7389c2d416b66ff4a837dbb28e466636a96435cbecc,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      1297,        13,         0,   0.022,chromobius,236dbc4f378fabf418caec39d0a36834573bfef2512ece306b6ef90db6ffe6fa,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      3072,         3,         0,   0.017,chromobius,fba7f029e33077a345bf4dd88f83ae2a90930bfabab1aa58f0cdbef2aea49d31,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      3072,         3,         0,   0.014,chromobius,7e2785c1c0f9bfeaa9e66a5953e1b9e36fad3d27ac737ff76c331d7f682b20a7,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      3072,         2,         0,   0.019,chromobius,49b8a39bf42fb82a45113fd0376bbcfd56c68650c2905e905a23637447b6dae7,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      4096,         2,         0,   0.016,chromobius,aa0966330167a83df22d82ff752da6805f7a520ba9b9f96a4b98fe916c564e60,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      4096,         0,         0,   0.014,chromobius,fdd14dc83274cbf67468505390cc44185505a54dc13edb403520539c9601c223,"{""d"":5,""p"":0.0001,""r"":20}",
         1,         0,         0,   0.013,chromobius,b44e8e54643f6f3f50efb0388135995f31eff0113727210c739a5eda3a23523a,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      2048,         9,         0,   0.019,chromobius,32f7aeaa3186c52c807fd872b483cc4eb7a52bb11656bbad528421b5eca9768b,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      2048,        10,         0,   0.022,chromobius,422980d53ff9fe41da6795fed75e8b57649d80939f14947e0176c2d113f9df5f,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      2048,         8,         0,   0.022,chromobius,a51a996a9a9058cb75c96519b03ad9fa998a544a537be2f3c377c8d1a2e2cf29,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      1024,        13,         0,   0.015,chromobius,8776287e3e3847d375fac7389c2d416b66ff4a837dbb28e466636a96435cbecc,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      3072,         1,         0,   0.016,chromobius,1baac601d392dda142401ff1ea123ee9e834a07d7d1ca7b3dce2c7d1fd50f545,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
        16,         1,         0,   0.000,chromobius,b44e8e54643f6f3f50efb0388135995f31eff0113727210c739a5eda3a23523a,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      4096,        10,         0,   0.022,chromobius,fba7f029e33077a345bf4dd88f83ae2a90930bfabab1aa58f0cdbef2aea49d31,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      4096,         6,         0,   0.021,chromobius,7e2785c1c0f9bfeaa9e66a5953e1b9e36fad3d27ac737ff76c331d7f682b20a7,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      2048,        19,         0,   0.026,chromobius,236dbc4f378fabf418caec39d0a36834573bfef2512ece306b6ef90db6ffe6fa,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      4096,         5,         0,   0.025,chromobius,49b8a39bf42fb82a45113fd0376bbcfd56c68650c2905e905a23637447b6dae7,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      3072,         2,         0,   0.022,chromobius,aa0966330167a83df22d82ff752da6805f7a520ba9b9f96a4b98fe916c564e60,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      2048,         9,         0,   0.020,chromobius,32f7aeaa3186c52c807fd872b483cc4eb7a52bb11656bbad528421b5eca9768b,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      2048,        12,         0,   0.023,chromobius,422980d53ff9fe41da6795fed75e8b57649d80939f14947e0176c2d113f9df5f,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      5120,         1,         0,   0.028,chromobius,fdd14dc83274cbf67468505390cc44185505a54dc13edb403520539c9601c223,"{""d"":5,""p"":0.0001,""r"":20}",
      3072,        12,         0,   0.025,chromobius,a51a996a9a9058cb75c96519b03ad9fa998a544a537be2f3c377c8d1a2e2cf29,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      5120,         1,         0,   0.026,chromobius,1baac601d392dda142401ff1ea123ee9e834a07d7d1ca7b3dce2c7d1fd50f545,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      2048,        26,         0,   0.031,chromobius,8776287e3e3847d375fac7389c2d416b66ff4a837dbb28e466636a96435cbecc,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      3328,        13,         0,   0.026,chromobius,b44e8e54643f6f3f50efb0388135995f31eff0113727210c739a5eda3a23523a,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      5120,         6,         0,   0.027,chromobius,fba7f029e33077a345bf4dd88f83ae2a90930bfabab1aa58f0cdbef2aea49d31,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      2048,        24,         0,   0.027,chromobius,236dbc4f378fabf418caec39d0a36834573bfef2512ece306b6ef90db6ffe6fa,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
